V,T
47.7900,3.2420
47.7900,3.2390
47.7900,3.2420
47.7900,3.2410
47.7900,3.2420
47.7900,3.2420
47.7900,3.2410
47.7900,3.2420
47.7800,3.2420
47.7800,3.2420
47.7800,3.2420
47.7800,3.2430
47.7800,3.2430
47.7800,3.2410
47.7800,3.2420
47.7800,3.2430
47.7800,3.2420
47.7800,3.2430
47.7800,3.2430
47.7800,3.2420
47.7700,3.2430
47.7700,3.2430
47.7700,3.2430
47.7800,3.2420
47.7700,3.2430
47.7700,3.2420
47.7700,3.2430
47.7700,3.2420
47.7700,3.2410
47.7700,3.2420
47.7700,3.2410
47.7700,3.2410
